level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1280	18038	-1	
2	1	1	0	0	0	58	18	24	11	-1	
3	1	1	1	0	0	58	18	24	11	-1	
4	1	1	1	1	0	58	18	24	11	-1	
5	1	1	1	1	1	58	18	24	11	85	ing
5	1	1	1	1	2	72	9	13	28	56	tl
2	1	2	0	0	0	114	17	181	13	-1	
3	1	2	1	0	0	114	17	181	13	-1	
4	1	2	1	1	0	114	17	181	13	-1	
5	1	2	1	1	1	114	18	112	12	0	COPIER
5	1	2	1	1	2	231	20	44	10	27	ane
5	1	2	1	1	3	280	17	15	10	0	aa)
2	1	3	0	0	0	321	16	129	11	-1	
3	1	3	1	0	0	321	16	129	11	-1	
4	1	3	1	1	0	321	16	129	11	-1	
5	1	3	1	1	1	321	17	20	10	0	PR
5	1	3	1	1	2	346	20	19	7	0	a
5	1	3	1	1	3	369	16	54	11	44	es
5	1	3	1	1	4	419	8	10	28	0	A
5	1	3	1	1	5	429	17	5	10	0	e
2	1	4	0	0	0	1240	14	16	16	-1	
3	1	4	1	0	0	1240	14	16	16	-1	
4	1	4	1	1	0	1240	14	16	16	-1	
5	1	4	1	1	1	1240	14	16	16	23	Od
2	1	5	0	0	0	1190	65	56	10	-1	
3	1	5	1	0	0	1190	65	56	10	-1	
4	1	5	1	1	0	1190	65	56	10	-1	
5	1	5	1	1	1	1190	65	56	10	17	Pa
2	1	6	0	0	0	140	68	24	10	-1	
3	1	6	1	0	0	140	68	24	10	-1	
4	1	6	1	1	0	140	68	24	10	-1	
5	1	6	1	1	1	140	68	24	10	20	is
2	1	7	0	0	0	185	68	36	10	-1	
3	1	7	1	0	0	185	68	36	10	-1	
4	1	7	1	1	0	185	68	36	10	-1	
5	1	7	1	1	1	185	68	36	10	6	aC)
2	1	8	0	0	0	242	68	47	13	-1	
3	1	8	1	0	0	242	68	47	13	-1	
4	1	8	1	1	0	242	68	47	13	-1	
5	1	8	1	1	1	242	68	47	13	36	Oia
2	1	9	0	0	0	311	68	8	10	-1	
3	1	9	1	0	0	311	68	8	10	-1	
4	1	9	1	1	0	311	68	8	10	-1	
5	1	9	1	1	1	311	68	8	10	25	i
2	1	10	0	0	0	351	71	6	7	-1	
3	1	10	1	0	0	351	71	6	7	-1	
4	1	10	1	1	0	351	71	6	7	-1	
5	1	10	1	1	1	351	71	6	7	46	s
2	1	11	0	0	0	378	68	89	10	-1	
3	1	11	1	0	0	378	68	89	10	-1	
4	1	11	1	1	0	378	68	89	10	-1	
5	1	11	1	1	1	378	68	89	10	12	eT
2	1	12	0	0	0	488	68	56	10	-1	
3	1	12	1	0	0	488	68	56	10	-1	
4	1	12	1	1	0	488	68	56	10	-1	
5	1	12	1	1	1	488	68	56	10	21	Creare’
2	1	13	0	0	0	589	68	29	13	-1	
3	1	13	1	0	0	589	68	29	13	-1	
4	1	13	1	1	0	589	68	29	13	-1	
5	1	13	1	1	1	589	68	29	13	12	EI
2	1	14	0	0	0	639	68	17	10	-1	
3	1	14	1	0	0	639	68	17	10	-1	
4	1	14	1	1	0	639	68	17	10	-1	
5	1	14	1	1	1	644	59	8	28	35	Ww
2	1	15	0	0	0	677	68	66	10	-1	
3	1	15	1	0	0	677	68	66	10	-1	
4	1	15	1	1	0	677	68	66	10	-1	
5	1	15	1	1	1	703	68	40	10	9	EL
2	1	16	0	0	0	765	68	37	10	-1	
3	1	16	1	0	0	765	68	37	10	-1	
4	1	16	1	1	0	765	68	37	10	-1	
5	1	16	1	1	1	765	68	37	10	30	fica)
2	1	17	0	0	0	823	68	32	10	-1	
3	1	17	1	0	0	823	68	32	10	-1	
4	1	17	1	1	0	823	68	32	10	-1	
5	1	17	1	1	1	823	68	32	10	95	More
2	1	18	0	0	0	1095	64	14	15	-1	
3	1	18	1	0	0	1095	64	14	15	-1	
4	1	18	1	1	0	1095	64	14	15	-1	
5	1	18	1	1	1	1095	64	14	15	92	Q
2	1	19	0	0	0	1130	66	31	12	-1	
3	1	19	1	0	0	1130	66	31	12	-1	
4	1	19	1	1	0	1130	66	31	12	-1	
5	1	19	1	1	1	1130	66	31	12	96	Login
2	1	20	0	0	0	58	76	55	23	-1	
3	1	20	1	0	0	58	76	55	23	-1	
4	1	20	1	1	0	58	76	55	23	-1	
5	1	20	1	1	1	58	76	55	23	96	FOX
2	1	21	0	0	0	30	102	85	22	-1	
3	1	21	1	0	0	30	102	85	22	-1	
4	1	21	1	1	0	30	102	85	22	-1	
5	1	21	1	1	1	30	102	85	22	80	/NEWS
2	1	22	0	0	0	140	118	56	11	-1	
3	1	22	1	0	0	140	118	56	11	-1	
4	1	22	1	1	0	140	118	56	11	-1	
5	1	22	1	1	1	140	118	18	9	96	Hot
5	1	22	1	1	2	161	118	35	11	68	Topics
2	1	23	0	0	0	211	118	104	9	-1	
3	1	23	1	0	0	211	118	104	9	-1	
4	1	23	1	1	0	211	118	104	9	-1	
5	1	23	1	1	1	211	118	64	9	96	Coronavirus
5	1	23	1	1	2	279	118	36	9	85	deaths
2	1	24	0	0	0	344	118	79	11	-1	
3	1	24	1	0	0	344	118	79	11	-1	
4	1	24	1	1	0	344	118	79	11	-1	
