level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1280	18021	-1	
2	1	1	0	0	0	58	18	24	11	-1	
3	1	1	1	0	0	58	18	24	11	-1	
4	1	1	1	1	0	58	18	24	11	-1	
5	1	1	1	1	1	58	18	24	11	85	ing
5	1	1	1	1	2	72	9	13	28	56	tl
2	1	2	0	0	0	114	17	181	13	-1	
3	1	2	1	0	0	114	17	181	13	-1	
4	1	2	1	1	0	114	17	181	13	-1	
5	1	2	1	1	1	114	18	112	12	0	COPIER
5	1	2	1	1	2	231	17	44	13	27	ane
5	1	2	1	1	3	280	17	15	10	0	aa)
2	1	3	0	0	0	321	16	129	11	-1	
3	1	3	1	0	0	321	16	129	11	-1	
4	1	3	1	1	0	321	16	129	11	-1	
5	1	3	1	1	1	321	17	20	10	0	PR
5	1	3	1	1	2	346	20	19	7	0	a
5	1	3	1	1	3	369	16	54	11	44	es
5	1	3	1	1	4	419	8	10	28	0	A
5	1	3	1	1	5	429	17	5	10	0	e
2	1	4	0	0	0	1240	14	16	16	-1	
3	1	4	1	0	0	1240	14	16	16	-1	
4	1	4	1	1	0	1240	14	16	16	-1	
5	1	4	1	1	1	1240	14	16	16	23	Od
2	1	5	0	0	0	140	68	24	10	-1	
3	1	5	1	0	0	140	68	24	10	-1	
4	1	5	1	1	0	140	68	24	10	-1	
5	1	5	1	1	1	140	68	24	10	20	is
2	1	6	0	0	0	185	68	36	10	-1	
3	1	6	1	0	0	185	68	36	10	-1	
4	1	6	1	1	0	185	68	36	10	-1	
5	1	6	1	1	1	185	68	36	10	6	aC)
2	1	7	0	0	0	242	68	47	13	-1	
3	1	7	1	0	0	242	68	47	13	-1	
4	1	7	1	1	0	242	68	47	13	-1	
5	1	7	1	1	1	242	68	47	13	36	Oia
2	1	8	0	0	0	311	68	46	10	-1	
3	1	8	1	0	0	311	68	46	10	-1	
4	1	8	1	1	0	311	68	46	10	-1	
5	1	8	1	1	1	311	68	46	10	15	ono
2	1	9	0	0	0	378	68	89	10	-1	
3	1	9	1	0	0	378	68	89	10	-1	
4	1	9	1	1	0	378	68	89	10	-1	
5	1	9	1	1	1	378	68	89	10	12	eT
2	1	10	0	0	0	488	68	56	10	-1	
