level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1280	17871	-1	
2	1	1	0	0	0	58	17	31	12	-1	
3	1	1	1	0	0	58	17	31	12	-1	
4	1	1	1	1	0	58	17	31	12	-1	
5	1	1	1	1	1	58	20	16	9	16	en
2	1	2	0	0	0	114	18	10	9	-1	
3	1	2	1	0	0	114	18	10	9	-1	
4	1	2	1	1	0	114	18	10	9	-1	
5	1	2	1	1	1	114	18	10	9	77	ite
2	1	3	0	0	0	139	20	12	7	-1	
3	1	3	1	0	0	139	20	12	7	-1	
4	1	3	1	1	0	139	20	12	7	-1	
5	1	3	1	1	1	139	20	12	7	89	ou
2	1	4	0	0	0	182	17	113	13	-1	
3	1	4	1	0	0	182	17	113	13	-1	
4	1	4	1	1	0	182	17	113	13	-1	
5	1	4	1	1	1	193	18	10	9	71	to
5	1	4	1	1	2	208	20	18	7	96	our
5	1	4	1	1	3	231	17	44	13	95	Privacy
5	1	4	1	1	4	280	17	15	10	95	Pol
2	1	5	0	0	0	321	16	129	11	-1	
3	1	5	1	0	0	321	16	129	11	-1	
4	1	5	1	1	0	321	16	129	11	-1	
5	1	5	1	1	1	321	17	20	10	0	PR
5	1	5	1	1	2	346	20	19	7	0	a
5	1	5	1	1	3	369	16	54	11	44	es
5	1	5	1	1	4	419	8	10	28	0	A
5	1	5	1	1	5	429	17	5	10	0	e
2	1	6	0	0	0	1240	14	16	16	-1	
3	1	6	1	0	0	1240	14	16	16	-1	
4	1	6	1	1	0	1240	14	16	16	-1	
5	1	6	1	1	1	1240	14	16	16	23	Od
2	1	7	0	0	0	1190	65	56	10	-1	
3	1	7	1	0	0	1190	65	56	10	-1	
4	1	7	1	1	0	1190	65	56	10	-1	
5	1	7	1	1	1	1190	65	56	10	17	Pa
2	1	8	0	0	0	140	68	24	10	-1	
3	1	8	1	0	0	140	68	24	10	-1	
4	1	8	1	1	0	140	68	24	10	-1	
5	1	8	1	1	1	140	68	24	10	20	is
2	1	9	0	0	0	185	68	36	10	-1	
3	1	9	1	0	0	185	68	36	10	-1	
4	1	9	1	1	0	185	68	36	10	-1	
5	1	9	1	1	1	185	68	36	10	6	aC)
2	1	10	0	0	0	242	68	47	13	-1	
3	1	10	1	0	0	242	68	47	13	-1	
4	1	10	1	1	0	242	68	47	13	-1	
5	1	10	1	1	1	242	68	47	13	36	Oia
